link,name,price,sku,short_description,specification,list_of_image_links
https://aquapolis.ru/protivoskol-zjaschij-pvh-nastil-aquaviva-zelenyj-toschinoj-5-mm-2-6-kg-m2-0-9h15-m.html,"Противоскользящий ПВХ настил AquaViva зеленый, толщиной 5 мм (2,6 кг\м2, 0,9х15 м)",14796,31817,"Противоскользящее напольное покрытие «AquaViva» обеспечивает безопасность людей в помещениях с повышенной влажностью. Изделие имеет структурную поверхность с ячеистой структурой. Практичная цветовая гамма и простой рисунок позволяют применять этот тип продукции для решения многих дизайнерских задач. Рулонное ячеистое покрытие из ПВХ, проще называется Дорожка-Змейка или Зиг-Заг легко укладываются в любом месте, благодаря мягкой структуре. Отлично выполняют функцию защиты от грязи и влаги, что немаловажно в наших климатических условиях. Пластиковые рулонные дорожки легко чистятся, легко укладываются в любом месте, так как ПВХ состав позволяет с легкостью резать рулон и создавать необходимую конфигурацию покрытия. Покрытие хорошо прилегает к поверхности и обладает пружинистыми свойствами.
Успешно справляется со следующими функциями:
Предотвращает скольжение;
Снижает нагрузку на позвоночник и ноги;
Амортизирует падения и защищает от травм;
Очищает обувь от уличной грязи.
Помимо выполнения антискользящих функций, покрытие защищает пол от механических повреждений, предотвращает преждевременный износ линолеума, ламината, плитки и других видов декоративной отделки. Сфера его применения – любые помещения и открытые пространства с влажными поверхностями. Продукция широко используется в качестве напольного покрытия для душевых, саун, аквапарков, раздевалок, закрытых и открытых бассейнов. В быту изделие может применяться для ванны, балкона или веранды. В общественных местах – для обустройства любых травмоопасных объектов: ступеней, пандусов, детских площадок. В саду защищают газон, не препятствуют росту травы, травмобезопасны.","{'Ширина рулона, м': ['0,9'], 'Длина рулона, м': ['15'], 'Дополнительно': ['Площадь рулона: 13,5 кв.м.'], 'Вес, кг': ['35'], 'Толщина материала': ['0,5 см'], 'Материал': ['ПВХ (поливинилхлорид)'], 'Производитель': ['Aquaviva'], 'Страна производства': ['Китай'], 'Гарантия': ['12 месяцев']}","['https://aquapolis.ru/media/catalog/product/cache/05af6e29236222ee6dcbce6d0b73330f/g/r/green_1_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1be49779f52f677c69c0726a79a66aee/a/l/allcolor.jpg']"
https://aquapolis.ru/protivoskol-zjaschij-pvh-nastil-aquaviva-zelenyj-toschinoj-5-mm-2-6-kg-m2-0-9h15-m-1.html,"Противоскользящий ПВХ настил AquaViva красный, толщиной 5 мм (2,6 кг\м2, 0,9х15 м)",14796,31814,"Противоскользящее напольное покрытие «AquaViva» обеспечивает безопасность людей в помещениях с повышенной влажностью. Изделие имеет структурную поверхность с ячеистой структурой. Практичная цветовая гамма и простой рисунок позволяют применять этот тип продукции для решения многих дизайнерских задач. Рулонное ячеистое покрытие из ПВХ, проще называется Дорожка-Змейка или Зиг-Заг легко укладываются в любом месте, благодаря мягкой структуре. Отлично выполняют функцию защиты от грязи и влаги, что немаловажно в наших климатических условиях. Пластиковые рулонные дорожки легко чистятся, легко укладываются в любом месте, так как ПВХ состав позволяет с легкостью резать рулон и создавать необходимую конфигурацию покрытия. Покрытие хорошо прилегает к поверхности и обладает пружинистыми свойствами.
Успешно справляется со следующими функциями:
Предотвращает скольжение;
Снижает нагрузку на позвоночник и ноги;
Амортизирует падения и защищает от травм;
Очищает обувь от уличной грязи.
Помимо выполнения антискользящих функций, покрытие защищает пол от механических повреждений, предотвращает преждевременный износ линолеума, ламината, плитки и других видов декоративной отделки. Сфера его применения – любые помещения и открытые пространства с влажными поверхностями. Продукция широко используется в качестве напольного покрытия для душевых, саун, аквапарков, раздевалок, закрытых и открытых бассейнов. В быту изделие может применяться для ванны, балкона или веранды. В общественных местах – для обустройства любых травмоопасных объектов: ступеней, пандусов, детских площадок. В саду защищают газон, не препятствуют росту травы, травмобезопасны.","{'Ширина рулона, м': ['0,9'], 'Длина рулона, м': ['15'], 'Дополнительно': ['Площадь рулона: 13,5 кв.м.'], 'Вес, кг': ['35'], 'Толщина материала': ['0,5 см'], 'Материал': ['ПВХ (поливинилхлорид)'], 'Производитель': ['Aquaviva'], 'Страна производства': ['Китай'], 'Гарантия': ['12 месяцев']}","['https://aquapolis.ru/media/catalog/product/cache/05af6e29236222ee6dcbce6d0b73330f/r/e/red.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1be49779f52f677c69c0726a79a66aee/a/l/allcolor_1.jpg']"
https://aquapolis.ru/protivoskol-zjaschij-pvh-nastil-aquaviva-zelenyj-toschinoj-5-mm-2-6-kg-m2-0-9h15-m-2.html,"Противоскользящий ПВХ настил AquaViva серый, толщиной 5 мм (2,6 кг\м2, 0,9х15 м)",14796,31816,"Противоскользящее напольное покрытие «AquaViva» обеспечивает безопасность людей в помещениях с повышенной влажностью. Изделие имеет структурную поверхность с ячеистой структурой. Практичная цветовая гамма и простой рисунок позволяют применять этот тип продукции для решения многих дизайнерских задач. Рулонное ячеистое покрытие из ПВХ, проще называется Дорожка-Змейка или Зиг-Заг легко укладываются в любом месте, благодаря мягкой структуре. Отлично выполняют функцию защиты от грязи и влаги, что немаловажно в наших климатических условиях. Пластиковые рулонные дорожки легко чистятся, легко укладываются в любом месте, так как ПВХ состав позволяет с легкостью резать рулон и создавать необходимую конфигурацию покрытия. Покрытие хорошо прилегает к поверхности и обладает пружинистыми свойствами.
Успешно справляется со следующими функциями:
Предотвращает скольжение;
Снижает нагрузку на позвоночник и ноги;
Амортизирует падения и защищает от травм;
Очищает обувь от уличной грязи.
Помимо выполнения антискользящих функций, покрытие защищает пол от механических повреждений, предотвращает преждевременный износ линолеума, ламината, плитки и других видов декоративной отделки. Сфера его применения – любые помещения и открытые пространства с влажными поверхностями. Продукция широко используется в качестве напольного покрытия для душевых, саун, аквапарков, раздевалок, закрытых и открытых бассейнов. В быту изделие может применяться для ванны, балкона или веранды. В общественных местах – для обустройства любых травмоопасных объектов: ступеней, пандусов, детских площадок. В саду защищают газон, не препятствуют росту травы, травмобезопасны.","{'Ширина рулона, м': ['0,9'], 'Длина рулона, м': ['15'], 'Дополнительно': ['Площадь рулона: 13,5 кв.м.'], 'Вес, кг': ['35'], 'Толщина материала': ['0,5 см'], 'Материал': ['ПВХ (поливинилхлорид)'], 'Производитель': ['Aquaviva'], 'Страна производства': ['Китай'], 'Гарантия': ['12 месяцев']}","['https://aquapolis.ru/media/catalog/product/cache/05af6e29236222ee6dcbce6d0b73330f/g/r/graey.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1be49779f52f677c69c0726a79a66aee/a/l/allcolor_4.jpg']"
https://aquapolis.ru/protivoskol-zjaschij-pvh-nastil-aquaviva-zelenyj-toschinoj-5-mm-2-6-kg-m2-0-9h15-m-3.html,"Противоскользящий ПВХ настил AquaViva синий, толщиной 5 мм (2,6 кг\м2, 0,9х15 м)",14796,31818,"Противоскользящее напольное покрытие «AquaViva» обеспечивает безопасность людей в помещениях с повышенной влажностью. Изделие имеет структурную поверхность с ячеистой структурой. Практичная цветовая гамма и простой рисунок позволяют применять этот тип продукции для решения многих дизайнерских задач. Рулонное ячеистое покрытие из ПВХ, проще называется Дорожка-Змейка или Зиг-Заг легко укладываются в любом месте, благодаря мягкой структуре. Отлично выполняют функцию защиты от грязи и влаги, что немаловажно в наших климатических условиях. Пластиковые рулонные дорожки легко чистятся, легко укладываются в любом месте, так как ПВХ состав позволяет с легкостью резать рулон и создавать необходимую конфигурацию покрытия. Покрытие хорошо прилегает к поверхности и обладает пружинистыми свойствами.
Успешно справляется со следующими функциями:
Предотвращает скольжение;
Снижает нагрузку на позвоночник и ноги;
Амортизирует падения и защищает от травм;
Очищает обувь от уличной грязи.
Помимо выполнения антискользящих функций, покрытие защищает пол от механических повреждений, предотвращает преждевременный износ линолеума, ламината, плитки и других видов декоративной отделки. Сфера его применения – любые помещения и открытые пространства с влажными поверхностями. Продукция широко используется в качестве напольного покрытия для душевых, саун, аквапарков, раздевалок, закрытых и открытых бассейнов. В быту изделие может применяться для ванны, балкона или веранды. В общественных местах – для обустройства любых травмоопасных объектов: ступеней, пандусов, детских площадок. В саду защищают газон, не препятствуют росту травы, травмобезопасны.","{'Ширина рулона, м': ['0,9'], 'Длина рулона, м': ['15'], 'Дополнительно': ['Площадь рулона: 13,5 кв.м.'], 'Вес, кг': ['35'], 'Толщина материала': ['0,5 см'], 'Материал': ['ПВХ (поливинилхлорид)'], 'Производитель': ['Aquaviva'], 'Страна производства': ['Китай'], 'Гарантия': ['12 месяцев']}","['https://aquapolis.ru/media/catalog/product/cache/19995d79fdd0c7e430850427d7f70c86/b/l/blue_9.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1be49779f52f677c69c0726a79a66aee/a/l/allcolor_3.jpg']"
https://aquapolis.ru/protivoskol-zjaschij-pvh-nastil-aquaviva-zelenyj-toschinoj-5-mm-2-6-kg-m2-0-9h15-m-4.html,"Противоскользящий ПВХ настил AquaViva черный, толщиной 5 мм (2,6 кг\м2, 0,9х15 м)",14796,31815,"Противоскользящее напольное покрытие «AquaViva» обеспечивает безопасность людей в помещениях с повышенной влажностью. Изделие имеет структурную поверхность с ячеистой структурой. Практичная цветовая гамма и простой рисунок позволяют применять этот тип продукции для решения многих дизайнерских задач. Рулонное ячеистое покрытие из ПВХ, проще называется Дорожка-Змейка или Зиг-Заг легко укладываются в любом месте, благодаря мягкой структуре. Отлично выполняют функцию защиты от грязи и влаги, что немаловажно в наших климатических условиях. Пластиковые рулонные дорожки легко чистятся, легко укладываются в любом месте, так как ПВХ состав позволяет с легкостью резать рулон и создавать необходимую конфигурацию покрытия. Покрытие хорошо прилегает к поверхности и обладает пружинистыми свойствами.
Успешно справляется со следующими функциями:
Предотвращает скольжение;
Снижает нагрузку на позвоночник и ноги;
Амортизирует падения и защищает от травм;
Очищает обувь от уличной грязи.
Помимо выполнения антискользящих функций, покрытие защищает пол от механических повреждений, предотвращает преждевременный износ линолеума, ламината, плитки и других видов декоративной отделки. Сфера его применения – любые помещения и открытые пространства с влажными поверхностями. Продукция широко используется в качестве напольного покрытия для душевых, саун, аквапарков, раздевалок, закрытых и открытых бассейнов. В быту изделие может применяться для ванны, балкона или веранды. В общественных местах – для обустройства любых травмоопасных объектов: ступеней, пандусов, детских площадок. В саду защищают газон, не препятствуют росту травы, травмобезопасны.","{'Ширина рулона, м': ['0,9'], 'Длина рулона, м': ['15'], 'Дополнительно': ['Площадь рулона: 13,5 кв.м.'], 'Вес, кг': ['35'], 'Толщина материала': ['0,5 см'], 'Материал': ['ПВХ (поливинилхлорид)'], 'Производитель': ['Aquaviva'], 'Страна производства': ['Китай'], 'Гарантия': ['12 месяцев']}","['https://aquapolis.ru/media/catalog/product/cache/79a63a4fd84038468e2dc35ec300827e/b/l/black.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1be49779f52f677c69c0726a79a66aee/a/l/allcolor_2.jpg']"
https://aquapolis.ru/termokryshka-aquaviva-tk68-dlja-ovalnoj-kupeli-standart.html,"Термокрышка PolarSpa TK68 для овальной купели ""Стандарт""",13500,19344,Термокрышки PolarSpa используются для сохранения тепла нагретой воды и защиты купели от атмосферных осадков и грязи.,"{'Дополнительно': ['Легкость и прочность материалов', 'Складная конструкция с возможностью фиксации', 'Экономия времени нагрева воды в купели', 'Устойчивость к значительным снежным осадкам'], 'Размер': ['680 х 1300 мм'], 'Производитель': ['PolarSpa'], 'Гарантия': ['12 месяцев'], 'Условия доставки': ['Доставка осуществляется после 100% предоплаты'], 'Страна производства': ['Беларусь']}",['https://aquapolis.ru/media/catalog/product/cache/1d811ed2800ddecf07d18aaa474d79b9/1/3/1312_1.jpg']
https://aquapolis.ru/termokryshka-aquaviva-tk79-dlja-ovalnoj-kupeli-standart-pljus.html,"Термокрышка PolarSpa TK79 для овальной купели ""Стандарт плюс""",13500,19345,Термокрышки PolarSpa используются для сохранения тепла нагретой воды и защиты купели от атмосферных осадков и грязи.,"{'Дополнительно': ['Легкость и прочность материалов', 'Складная конструкция с возможностью фиксации', 'Экономия времени нагрева воды в купели', 'Устойчивость к значительным снежным осадкам'], 'Размер': ['790 х 1250 мм'], 'Производитель': ['PolarSpa'], 'Гарантия': ['12 месяцев'], 'Условия доставки': ['Доставка осуществляется после 100% предоплаты'], 'Страна производства': ['Беларусь']}","['https://aquapolis.ru/media/catalog/product/cache/052b6298c93846b4f718573217bf6623/4/-/4-2_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/052b6298c93846b4f718573217bf6623/1/-/1-3_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/052b6298c93846b4f718573217bf6623/5/-/5-2_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1d811ed2800ddecf07d18aaa474d79b9/1/3/1312_1_1.jpg']"
https://aquapolis.ru/termokryshka-aquaviva-tk98-dlja-ovalnoj-kupeli-standart.html,"Термокрышка PolarSpa TK98 для овальной купели ""Стандарт ++""",13500,19346,Термокрышки PolarSpa используются для сохранения тепла нагретой воды и защиты купели от атмосферных осадков и грязи.,"{'Дополнительно': ['Легкость и прочность материалов', 'Складная конструкция с возможностью фиксации', 'Экономия времени нагрева воды в купели', 'Устойчивость к значительным снежным осадкам'], 'Размер': ['980 х 1750 мм'], 'Производитель': ['PolarSpa'], 'Гарантия': ['12 месяцев'], 'Условия доставки': ['Доставка осуществляется после 100% предоплаты'], 'Страна производства': ['Беларусь']}","['https://aquapolis.ru/media/catalog/product/cache/4c1784395f9fda31f063dfc1c8d7cbeb/4/-/4-2_1_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/052b6298c93846b4f718573217bf6623/1/-/1-3_1_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/4c1784395f9fda31f063dfc1c8d7cbeb/5/-/5-2_1_1.jpg', 'https://aquapolis.ru/media/catalog/product/cache/1d811ed2800ddecf07d18aaa474d79b9/1/3/1312_1_1_1.jpg']"
https://aquapolis.ru/tent-aquaviva-tz79-dlja-ovalnoj-kupeli-standart-79h125-sm.html,"Тент PolarSpa TZ79 для овальной купели ""Стандарт +"" (79х125 см)",13500,19493,"Легкий и прочный тент TZ79 для овальной купели серии Стандарт+ от PolarSpa позволит экономить время нагрева воды в купели, а также защитит воду от сора и дождевой воды.","{'Дополнительно': ['Легкость и прочность материалов', 'Экономия времени нагрева воды в купели'], 'Производитель': ['PolarSpa'], 'Гарантия': ['12 месяцев'], 'Условия доставки': ['Доставка осуществляется после 100% предоплаты'], 'Страна производства': ['Беларусь']}",['https://aquapolis.ru/media/catalog/product/cache/34415b8eedc2181f9be4b3ee8293d36c/t/e/tent_1.jpg']
https://aquapolis.ru/tent-aquaviva-tz98-dlja-ovalnoj-kupeli-standart-98h175-sm.html,"Тент PolarSpa TZ98 для овальной купели ""Стандарт ++"" (98х175 см)",13500,19494,"Легкий и прочный тент TZ98 для овальной купели серии Стандарт++ от PolarSpa позволит экономить время нагрева воды в купели, а также защитит воду от сора и дождевой воды.","{'Дополнительно': ['Легкость и прочность материалов', 'Экономия времени нагрева воды в купели'], 'Производитель': ['PolarSpa'], 'Гарантия': ['12 месяцев'], 'Условия доставки': ['Доставка осуществляется после 100% предоплаты'], 'Страна производства': ['Беларусь']}",['https://aquapolis.ru/media/catalog/product/cache/34415b8eedc2181f9be4b3ee8293d36c/t/e/tent_2.jpg']
